X,Y,OBJECTID,FILE_NUM,FILE_TYPE,ADDRESS,FILE_YEAR,DESCRIPTION,APPLICATION_ID
582492.5511,4784652.9702,14721,25T-201602,Subdivision,285 FIDDLERS GREEN RD,2016,To construct 12 freehold townhouse units and Condominium Element private road.,
586130.4972,4785398.054,14722,PLC-16-005,Part Lot Control,86 RAYMOND RD,2016,To remove part lot control to permit the creation of 35 townhouse lots.,
584174.0011,4787115.4793,14723,FC-16-008,Formal Consultation,555 HIGHVALLEY RD,2016,To permit the construction of 4 single detached dwellings.,
586879.2596,4783463.0989,14724,25T-201603,Subdivision,9890 TWENTY RD W,2016,To construct 8 single detached fronting Twenty Road West.,
586914.9598,4783451.9426,14725,ZAC-16-011,Zoning Amendment,9890 TWENTY RD W,2016,To construct 8 single detached fronting Twenty Road West.,
598400.3533,4793160.0816,14726,DAB-16-008,Site Plan,793 BEACH BLVD,2016,To construct a 2 storey single detached dwelling.,
588533.1874,4799066.3325,14727,PLC-16-006,Part Lot Control,2 HISCOTT RD,2016,Removal of Part Lot Control to create 14 Townhouse lots.,
587670.5526,4797726.5752,14728,FC-16-013,Formal Consultation,111 PARKSIDE DR,2016,To develop the property with 5 townhouse units on Parkside Dr and other Townhouses units on shared Condominium road.,
581862.1524,4785056.3672,14729,FC-16-016,Formal Consultation,128 WILSON ST W,2016,Convert the single detached dwelling to medical office,
594951.2014,4782572.8729,14730,25CDM-201604,Condominium,101 DARTNALL RD,2016,"Plan of Condominium, To construct 7 Industrial units under Condominium ownership.",
600739.2769,4786719.4087,14731,UHOPA-16-01,Official Plan Amendment,860 QUEENSTON RD,2016,Change designation from Open Space and NHS Linkage to Multiple Residential (RM5)1 to allow a 19 storey 223 unit apartment building.,
591057.5501,4791118.5002,14732,ZAC-16-015,Zoning Amendment,280 BARTON ST W,2016,To change zoning L-mr-1 Planned Development to Modified G Neighbourhood Shopping Centre.,
580765.7693,4783298.8401,14733,UHOPA-16-007,Official Plan Amendment,503 GARNER RD W,2016,To change designation from Low Density Residential 1 to Low Density Residential 3a for a 46 townhouse development.,
